"A. Overholt Monongahela Mash Straight Rye Whiskey","","Caramel, subtle layers of sandalwood and caraway","Brown butter, honeysuckle, clove, seasoned oak","Pleasant, lingering notes of warm rich baking spice","A. Overholt official tasting notes"
"Bourbon 30 Small Batch 100 Proof Bourbon","","Honey and light black pepper with corn/candy corn and cornbread notes","Thick and oily mouthfeel; creamed corn and powerful spice","Long, oily creamed corn with lingering powerful spice","Whiskey Consensus"
"Bradshaw Bourbon","","Vanilla, toffee, toasted oak, banana, smoky, leathery accent","Baking spices, coconut, vanilla sweetness, rye spice structure","Long, warming, drying oak spices, peppery rye, cocoa, leathery echo","Forbes/Wine & Spirits Wholesalers Association"
"Bradshaw Kentucky Straight Rye","","Fresh cut grass, minerality, wet rock, fresh red cherries","Graham cracker, white pepper, and baked apples, vanilla","Sweet and spicy notes, grassy and floral ending, cinnamon, pepper, menthol","Sip Whiskey (nose/palate), Bourbon Culture (finish)"
"Bruichladdich Octomore 14.2","Rich dark gold","Peat, fig jam, orange peel, caramel, toffee, floral notes","Peat balanced with sweet caramel, vanilla, red fruits, savory, meaty notes","Dark red fruits, raspberry, blackberry, peppery, medium-long","The Whiskey Wash, Secret Whiskey Society, Me My Wife & Whisky"
"Bunnahabhain 18 Year Old Single Malt Scotch Whisky","Rich mahogany gold","Fragrant with notes of dried fruit, rich honeyed nuts, toffee and slight hints of spice","Mellow sherried nuts, dried fruit and rich oak, with toffee and a slight tang of salt","Dry fruit finish with a hint of spice and salt","Bunnahabhain Distillery"
"Bunnahabhain 2004 Mòine Pedro Ximénez Finish 17 Year","","<cite index=""1-2"">Creamy coffee, chocolate and walnuts</cite>","<cite index=""1-3,1-4"">Lots of milk chocolate, caramel and espresso coffee. Honey and some woody spice</cite>","<cite index=""1-5"">Sweet and fresh with some salted grapefruit segments to finish</cite>","Bunnahabhain"
"Bunnahabhain 21 year Cask Strength 2024 Edition","cinnamon","<cite index=""4-7"">Sweet nose with notes of dried fruit, nutmeg spice, honey, caramelised walnuts and a gentle touch of oak</cite>","<cite index=""4-8"">Initial spicy notes of cinnamon and clove fade to reveal grape syrup which coats the palate, with raisins, figs, candied cherries and a hint of liquorice</cite>","<cite index=""4-9"">Lingering spicy finish of toasted coffee and cocoa</cite>","Bunnahabhain Distillery"
"Bushmills 10 Year Private Reserve Bordeaux Cask Irish Whisky","deep amber","Roasted wood, red currants, ripe raspberries, green apple, lemon, vanilla","Crisp green apple, lemon, vanilla, dried fruits, subtle currants, spice","Long, warming, blackberry, cherry, oak, spice","Bushmills official, CaskCartel, ForWhiskeyLovers"
"Bushmills 12 Yo Single Malt Irish","<cite index=""4-17"">bright gold</cite>","<cite index=""4-1,4-2"">sultana, honey, caramelised pear, crisp green apple, vanilla patisserie custard, candied lime, dried apricot</cite>","<cite index=""4-24,4-25"">vanilla patisserie custard, golden syrup, dried apricot, fresh peach, caramelised pineapple, creamy milk chocolate</cite>","<cite index=""6-11"">roasted almonds and dark chocolate</cite>","Whisky For Everyone; Beaumont Drinks"
"Caribou Crossing Single Barrel Canadian Whisky","Golden medium brown","Sweet, light, fruity with notes of orange, vanilla, and caramel with soft oak undertone","Light vanilla and caramel dominate with faintest hint of grain","Clean, soft finish with lingering sweetness and mild spice","Breaking Bourbon, Drink Spirits, Barbank, Liquor Geeks"
"Chemist American Single Malt Whiskey","","Honeyed oak and ripened fruits","Caramel, vanilla, and warm spices","Spicy oak, dark chocolate, and tobacco","Total Wine & More"
"Colonel E.H. Taylor Barrel Proof","Tawny/brown","Aroma of cooked berries followed by a rich caramel and slightly floral smell","Bold and full of spice that fills the mouth with a distinct flavor of toasty vanilla, dried oak and pepper","Long and satisfying with a powerful rye character and lingering hints of fruit","Buffalo Trace Distillery official description"
"Colonel E.H. Taylor Small Batch Bottled In Bond Straight Kentucky Bourbon Whiskey","","Chocolate & molasses, brown sugar, cherry, caramel, cinnamon, orange zest","Explosive candy sweets, molasses, strawberry, apple, cherry, oak, caramel","Creamy start into lingering spice, pepper, tobacco, warming sensation","Amongst the Whiskey, Bourbon By Proxy, Bourbon Banter"
"Colonel E.H. Taylor Straight Rye","","","","","ERROR: Error: JSON did not parse: {
  ""name"": ""Colonel E.H. Taylor Straight Rye"",
  ""colour"": null,
  ""nose"": ""
Aroma full of dried fruit, black pepper and a touch of fresh dill
"",
  ""palate"": ""
An array of flavors both sweet and savo"
"Craigellachie Exceptional Cask Series Single Cask Single Malt","","","","","ERROR: Error: no JSON in the reply. stop_reason=end_turn text=The Craigellachie Exceptional Cask Series includes multiple bottlings of different ages. Since you didn't specify which one, I need to search for whether there's a specific bottling simply called ""Sin"
"Crown Royal Fine De Luxe Blended Canadian Whisky","mid golden amber","Buttery vanilla ice-cream, stewed fruit, caramel with prune, overripe banana, maple syrup","Sweet maple, buttery dry oak with sweetcorn, vanilla, candied fruit, black pepper spice","Cinnamon and black pepper spice, coal dust and buttery oak finish","Difford's Guide"
"Crown Royal Northern Harvest Rye Blended Canadian","","<cite index=""11-1"">Baking spices cereal light wood spices</cite>","<cite index=""11-2"">Gentle oak note rich butterscotch spiced vanilla develops into soft peppery notes</cite>","<cite index=""11-3"">Smooth and creamy</cite>","Spec's Wines, Spirits & Foods"
"Dubliner Steelers Select Limited Edition","<cite index=""8-5"">Warm golden hue from oak barrel maturation</cite>","<cite index=""8-6"">A fragrant mix of caramel, vanilla, rose water, almond slice, and maple sweetness</cite>","<cite index=""8-7"">Smooth, full-bodied flavors of honey, malt, subtle spice, balanced fruitiness, and gentle oak</cite>","<cite index=""8-8"">Satisfying and lingering with notes of vanilla, caramel, and soft toasted oak</cite>","Bottle Stork"
"Elijah Craig Barrel Proof A124","Rich dark amber","Caramel, vanilla, oak, brown sugar, molasses","Oak, vanilla, caramel, spice, brown sugar, maple, leather","Tobacco, mint, cinnamon","The Whiskey Wash"
"End of Days Survivor's Cut Rye","Deep mahogany with golden amber highlights","Inviting and layered with fresh rye bread, soft baking spices, honeyed oak, orange zest, vanilla","Warm and balanced. Cracked pepper, cinnamon, clove, gentle sweetness, creamy texture","Long and dry with oak, spice, toasted grain, and caramel","Seelbach's / End of Days Distillery"
"Evan Williams Master Blend","","Vanilla, caramel, honey, orange pekoe tea","Complex and spicy with cinnamon, black pepper, caramel, vanilla","Long with lingering spices and sweeter notes","Evan Williams/CaskCartel/WhiskyCast"
"Glendronach Port Wood 10 Year","Intense cherry wood","Victoria plum, bramble, strawberry jam with cherry blossom and honeysuckle","Blackberry, roasted apple crumble, gingerbread, baked orange and black cherry","Orange peel, sultana and cherry cake","Glendronach Distillery"
"Glenmorangie Nectar d'Or Sauternes 12 Year","golden","<cite index=""7-1,7-2"">Lemon tart, vanilla, lime, orange zest, sultanas, dates, ginger, coconut</cite>","<cite index=""7-6"">Gingerbread, nutmeg, toasted almonds, meringue, honeycomb</cite>","<cite index=""1-3"">Lemon zest, chocolate, ginger, spice</cite>","Stirling Fine Wines, KL Wines, Wine & Liquor Warehouse"
"Glenmorangie The Lasanta Sherry Cask Finish 12 Year Old Single Malt Scotch Whisky","garnet","Warm spicy aroma with chocolate covered raisins, honeycomb and caramel toffee","Sherry flavoured sultanas, orange, walnuts and butterscotch with warm spices","Long and satisfying with spiced orange and chocolate covered hazelnuts","Glenmorangie official"
"Gold Spot","Gold","Juicy fruits like apples and pears, vanilla, cinnamon, clove","Rich honey sweetness, vanilla, toasted oak, light fruits, apricot, apple","Medium to long with spiced pear and apple notes, lingering dark roasty sweetness","The Whisky Study, The Whiskey Shelf, Secret Whiskey Society"
"Green Spot Leoville Barton Bordeaux Finished Single Pot Still Irish Whiskey","<cite index=""7-3"">Amber with the slightest hint of red wine influence</cite>","<cite index=""4-4,4-5"">French oak drives the initial aroma with crisp woodland notes added to the spicy Pot Still character. The wine seasoning brings a floral perfume and ripe berries to the archetypal orchard fruits</cite>","<cite index=""12-8"">Toffee, green apple, lemon peel, vanilla, redcurrant and warming spice</cite>","<cite index=""12-9"">Long and quite dry with cereal and plenty more spiciness</cite>","Cask Cartel"
"Green Spot Mitchel & Sons 100th Anniversary Edition 10 Year Old Single Pot Still Irish Whiskey","<cite index=""8-4"">Rich golden amber with warm copper undertones and a sunlit, honeyed glow</cite>","<cite index=""1-6,1-7"">Opens with decadent aromas of floral honey, coffee cake, and toffee, layered with autumnal fruits, sweet pear, blackberry, apple, and lifted by herbal notes of lemon verbena and mint. Light dustings of nutmeg add warmth and complexity</cite>","<cite index=""1-8"">A blend of cinnamon, nutmeg, vanilla, dried fruits, and dessert-like flavours of apple crumble are layered over warming cereal notes of barley</cite>","<cite index=""1-9"">A rich and lasting finish, with pot still spices and orchard fruits gently lingering to the end</cite>","Producer tasting notes"
"Green Spot Quail's Gate Pinot Noir Cask Finish Single Pot Still Irish Whiskey","Delicate blush from Pinot Noir casks","Vibrant oak, ripe cherry, juicy raspberry; apple and sweet pear","Silky, sweet, dried cranberries, red apple, clove, nutmeg, oak","Spices punctuate a pleasantly balanced finish","Irish Distillers official notes, Whisky Advocate"
"Heaven Hill Grain To Glass 1st Edition Straight Rye Whiskey","Amber","Rye spice, vanilla, dill, brown sugar, orange clove","Vanilla, rye and baking spices, dill, orange, toasted oak, brown sugar","Long with notes of warm rye spice and sweet toasted oak","Bourbon Bossman, Grain & Vine"
"Heaven Hill Grain to Glass Straight Bourbon Whiskey 1st Edition","Golden amber","Apples and pears with notes of fresh oak","Plentiful orchard fruit with bright floral and spice notes","Slight oaky sweetness with peppery spice","InternetWines.com"
"High N' Wicked The Wild Rover Single Malt Irish Whiskey","","Dark cocoa-dusted chocolate truffles, crème fraiche, slivered almonds","Pancakes with barrel-aged maple syrup and pink peppercorn","Tuiles cookies with pastry cream and kumquat lift","Skurnik Wines & Spirits"
"High West Campfire","Ruddy amber","Butterscotch, shortbread biscuit, sandalwood, jasmine, worn leather, pine resin; gentle smoke and smoldering wood","Vanilla, salted caramel, toasted brioche, red berry compote, chai spices, nutmeg, cinnamon, orange zest, cedar, pipe tobacco","Sweet and smoky with a lingering spice","High West Distillery (official)"
"High West Rendezvous Rye","Golden honey","Orange peel, dried apricots, mint, clove, pine, and caramelized sugar","Bold spice with ginger and cinnamon; underlying sweet notes of molasses, vanilla, macaroon, and toasted oak","Lively rye spice fades away to lingering notes of caramel, orange zest, and tobacco","High West Distillery"
"Highland Park Cask Strength Single Malt Scotch Whisky","Light gold","Toasty with brown sugar and peat","Hot pepper and nutmeg on the front, buttery and rich like dark honey, maple syrup with sea salt","Peat with lemon zest","The Whiskey Wash"
"I.W. Harper 15 Year Old Kentucky Straight Bourbon Whiskey","Mahogany","Lush with fruit aromas, mint chocolate and cinnamon spice, oak and dried fruit","Grain and corn with oak, raisin, caramel, spice, and vanilla","Warm and oaky mouthfeel, long and lasting","I.W. Harper official website, Seelbach's, Caskers"
"Isle of Raasay Dùn Cana Sherry Quarter Cask Release Hebridean Single Malt","Honey gold with hints of red wine","Strong sherry aromas, raisins, dried fruit, fine smoke and sweet spices","Full-bodied and complex with notes of dark chocolate, dates, toffee, oak spice and peatiness","Long-lasting, spicy, fruity and elegantly smoky","Isle of Raasay Distillery / Delicando"
"J. Mattingly Private Barrel Select Bourbon","","","","",""
"J. Mattingly Single Barrel Light Whiskey","","","","",""
"J. Mattingly Small Batch Rye Whiskey Private Barrel Select","","","","",""
"Jack Daniel's Finished in Oloroso Sherry Casks American Single Malt Whiskey","","<cite index=""9-6"">Soft oak, fruit and cocoa</cite>","<cite index=""9-6"">Dark chocolate-covered nuts and berries</cite>","<cite index=""9-6"">Subtle, sweet Oloroso Sherry finish</cite>","Jack Daniel's"
"Jack Daniel's Single Barrel Barrel Proof Rye Barrel Select","","","","","ERROR: Error: no JSON in the reply. stop_reason=end_turn text=The search results show this product varies by single barrel selection. Since proofs range widely (125-145 proof) and tasting notes vary significantly between barrel selections, I cannot provide a sin"
"Jefferson's Ocean Wheated Bourbon","<cite index=""10-6"">Honey copper</cite>","<cite index=""11-1"">Butterscotch, vanilla bean, with a pop of caramel</cite>","<cite index=""10-14"">Corn and vanilla sweetness</cite>; <cite index=""11-2"">toasted caramel, allspice, white pepper, slight sea salt</cite>","<cite index=""10-7"">Delicate and warm with a return of vanilla, cream and toast</cite>","ReserveBar; OHLQ"
"Keeper's Heart Irish + Bourbon Cask Strength","Burnished gold","Sweet aromas of caramel, vanilla, and charred oak from bourbon with earthy pot still notes and orchard fruits","Peppery virgin oak, pot still creaminess and caramelized vanilla sweetness with herbal earthy notes","Black pepper front and center, followed by baking chocolate and roasted nuts","Keeper's Heart official, Wine Enthusiast, Breaking Bourbon"
"Lagavulin 12 Year 2023 Special Release The Ink of Legends","Pale with fierce glints of gold","Sea air, citrus, ripened berries, intense herbal smoke, peat","Sweet citrus, juicy plum, salt, herbal smoke, increasingly smoky finish","Long, salty tang, very smoky, lingering and mouth-cooling","Lagavulin Official & Whisky Advocate"
"Ledaig 18 Year Single Malt Scotch","Copper Gold","Quite salty with a lot of rubbery and plum characteristics. A little bit of sweet cream & a touch of rhubarb. Some pork crackling, sauna notes and also newly polished shoes.","Plenty of peaty/spicy character despite the light texture. This becomes very sticky and tar-like after some time. The saltiness takes over and even resembles Tabasco sauce towards the end.","Like sitting around a bonfire; long and delicately smoky.","Royal Mile Whiskies"
"Ledaig Heroes & Heretics Smoke & Glory Single Sherry Cask 2010 12 Year Single Malt","","","","",""
"10th Street Triple Cask Str Single Malt","Tawny port","Ripe red berries, caramel, toasted oak, dark chocolate, baking spices","Vanilla, dried fruits, toffee, gentle smokiness, spice","Oak, cinnamon, cocoa, long and velvety","10th Street Distillery (producer notes)"
"Limavady Single Barrel Irish Whiskey","Pale amber","Dried fruit aromas and PX sherry cask sweetness","Smooth and balanced with immense fruitiness and a hint of spice","Long lasting, with a balanced bourbon cask sweetness","Celtic Whiskey Shop / Limavady Producer"
"Little Book Chapter 8 Path Not Taken Blended Whisky","","Butterscotch, fresh dill, and toasted rye bread","Floral and sweet apricot, evolving into gingerbread and honey","Peppery bite with cinnamon and citrus aftertaste","The Barrel Tap"
"Macaloney's Caledonian Oaken Poitin","","<cite index=""8-5"">Apricot, papaya, pears, honey, oats and Sherried fruit cake</cite>","<cite index=""8-5,8-6"">Full bodied, creamy and smooth, with cereal and a symphony of floral and fruit notes including roses, honey, nectarine, papaya, apricot, apples & candied orange. Layered into this are red wine, blackcurrant, wood spices and a lingering oak</cite>","<cite index=""8-6"">Lingering oak finish</cite>","Macaloney's Caledonian official tasting notes"
"Macaloney's Searaidh Braiche Single Malt Spirit","","Classic sherried influence that is rich, warm and inviting","Plums, raisins, tropical fruit and wood spices with tannins and oak","Complex with hint of sea salt and sherry and tropical fruit notes","WhiskyBrother"
"Maker's Mark Wood Finishing Series The Heart Release 2024","","Toasted sweetness, stone fruit, cocoa","Brown sugar, maple, spice","Creamy, dark chocolate, long silky finish","Maker's Mark"
"Mi Familia Flores Tequila Anejo Cristalino","","","","","ERROR: Error: no JSON in the reply. stop_reason=end_turn text=I see there are conflicting details about aging in the sources (18 months vs 36 months). Let me search for more specific official information.
Based on my search results, I found information about Mi "
"Nashville Single Barrel Rye","","","","","ERROR: Error: no JSON in the reply. stop_reason=end_turn text=Based on my search results, Nashville Single Barrel Rye is a line of single barrel ryes from Nashville Barrel Company rather than a single specific bottling. The single barrels vary by proof and age. "
"Natterjack Cask Strength","","Aromas of oranges, butterscotch and hints of cloves","Smooth with orange and char, malt, cloves, butterscotch and earthy oak","Warm honeyed finish","Producer (Luekensliquors)"
"Natterjack The Mistake","","Hickory BBQ, toasted walnut, singed cinnamon, seared orange zest","Vanilla bean, warm molasses, toffee, hint of granny smith apple","Warm oak, caramel, aniseed, ginger","Whisky Advocate, Empire Wine, Greene Grape"
"Nelson Brothers Black Brier","","brown sugar, cacao nibs, rolled oats","toffee, pecan, dark cherry","black tea, baking spices, vanilla","Nelson's Green Brier Distillery"
"New Riff Barrel Proof Sherry Finish 6 Year Old Kentucky Straight Malted Rye","","Dark fruits, buttery sherry oak, vanilla","Full-bodied, savory, sappy mouthfeel with malty grain and oak undertones","Clove, wood spice, fruit-forward finish with brightening spices","New Riff Distilling official tasting notes"
"O.K.I. Reserve Batch 1","","Vanilla custard, hints of caramel, honey and white pepper throughout","Semi sweet chocolate, leather, lemon oil, long delicate minty finish","Long delicate minty finish","Seelbach's / Lueken's Liquors"
"O.K.I. Single Barrel Bourbon By The Barrel","","","","",""
"Oban Little Bay Small Cask","<cite index=""13-6"">Rich antique gold</cite>","<cite index=""13-7,13-8"">Oily waxy and nutty balanced by ripe orchard fruits. Notes of almond fruit cake on denser Christmas pudding with cereal and orange behind</cite>","<cite index=""13-11"">The comforting chewiness of rich fruit-bread hints of orange zest and clove growing drier still minty with crisp green apple</cite>","<cite index=""13-12,13-13"">Long. Quite syrupy at first then drying with elegant coating tannins rich in dark chocolate character</cite>","Spec's Wines, Spirits & Foods"
"Old Elk Wheat N Rye","<cite index=""1-4"">golden amber</cite>","<cite index=""1-1"">Spicy, soft, and warm, honey, coriander, green apple, subtle oak, warm bread, graham crackers</cite>","<cite index=""1-8"">Black pepper, honey, marzipan, sweet cherries, maple, oak, hint of green apple</cite>","","The Whiskey Wash"
"Old Forester Statesman Kentucky Straight Bourbon Whiskey","Modest Copper","Devil's food, clove and oak spice with an undercurrent of raw vanilla","Buttery leather is quickly dominated by a bold flash of pepper, cinnamon bark and sharp citrus","Intense spice and eucalyptus which fade into orange cream and caramel","Old Forester"
"Old Man Winter Bourbon From The Black Hills Whiskey","Auburn","Vanilla, caramel, toasted oak with hints of apricot and stone fruit","Rich dark pitted fruits, sweet spice, anisette, caramel, vanilla, chocolate","Sweet baking spice, lingering clove note, warm finish","K&L Wines, Blackwell's Wines, InternetWines.com"
"Orphan Barrel Muckety-Muck","","Bright and sweet, with aromas of lemon meringue pie, caramel sauce, ginger ale","Powdered sugar, vanilla, citrus, lemon curd, snickerdoodle, and light caramel","Thin, citrusy, and cooling, with menthol and Lemon zinger tea","The Whiskey Wash"
